timestamp,model,quant,tier,task,n_shot,metric,value,stderr,samples_original,samples_effective,result_json
2026-04-12 09:13:13,meta-llama/Llama-3.1-8B-Instruct,bf16,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/bf16/meta-llama__Llama-3.1-8B-Instruct/results_2026-04-12T09-13-08.538558.json
2026-04-12 10:42:40,meta-llama/Llama-3.1-8B-Instruct,bf16,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/bf16/meta-llama__Llama-3.1-8B-Instruct/results_2026-04-12T10-42-38.872982.json
2026-04-12 10:45:06,meta-llama/Llama-3.1-8B-Instruct,bf16,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/bf16/meta-llama__Llama-3.1-8B-Instruct/results_2026-04-12T10-45-04.304331.json
2026-04-12 10:58:41,meta-llama/Llama-3.1-8B-Instruct,bf16,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/bf16/meta-llama__Llama-3.1-8B-Instruct/results_2026-04-12T10-58-39.273290.json
2026-04-12 11:01:25,neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,fp8,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__Meta-Llama-3.1-8B-Instruct-FP8/results_2026-04-12T11-01-21.439213.json
2026-04-12 12:19:13,neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,fp8,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__Meta-Llama-3.1-8B-Instruct-FP8/results_2026-04-12T12-19-11.162998.json
2026-04-12 12:21:33,neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,fp8,tier1,winogrande,5,alias,winogrande,N/A,1267,1267,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__Meta-Llama-3.1-8B-Instruct-FP8/results_2026-04-12T12-21-29.815809.json
2026-04-12 12:34:12,neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,fp8,tier1,arc_challenge,25,alias,arc_challenge,N/A,1172,1172,/home/saketh-msc/quantization/results/accuracy/evals/fp8/neuralmagic__Meta-Llama-3.1-8B-Instruct-FP8/results_2026-04-12T12-34-10.278792.json
2026-04-12 12:37:02,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,awq,tier1,mmlu_abstract_algebra,5,alias,abstract_algebra,N/A,100,100,/home/saketh-msc/quantization/results/accuracy/evals/awq/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4/results_2026-04-12T12-37-00.070396.json
2026-04-12 14:06:38,hugging-quants/Meta-Llama-3.1-8B-Instruct-AWQ-INT4,awq,tier1,hellaswag,10,alias,hellaswag,N/A,10042,10042,/home/saketh-msc/quantization/results/accuracy/evals/awq/hugging-quants__Meta-Llama-3.1-8B-Instruct-AWQ-INT4/results_2026-04-12T14-06-35.087270.json
